Driver,Team,LapNumber,LapTime,Compound,Stint,TrackStatus,IsAccurate,Year,Track,Session,LapTimeSeconds
NOR,McLaren,2.0,0 days 00:01:19.911000,SOFT,1.0,1,True,2024,Monza,Q,79.911
NOR,McLaren,5.0,0 days 00:01:19.727000,SOFT,2.0,1,True,2024,Monza,Q,79.727
NOR,McLaren,8.0,0 days 00:01:19.401000,SOFT,3.0,1,True,2024,Monza,Q,79.401
NOR,McLaren,11.0,0 days 00:01:19.327000,SOFT,4.0,1,True,2024,Monza,Q,79.327
PIA,McLaren,2.0,0 days 00:01:50.311000,SOFT,1.0,1,True,2024,Monza,Q,110.311
PIA,McLaren,3.0,0 days 00:01:20.488000,SOFT,1.0,1,True,2024,Monza,Q,80.488
PIA,McLaren,6.0,0 days 00:01:20.076000,SOFT,2.0,12,True,2024,Monza,Q,80.076
PIA,McLaren,9.0,0 days 00:01:19.808000,SOFT,3.0,1,True,2024,Monza,Q,79.808
PIA,McLaren,12.0,0 days 00:01:19.845000,SOFT,4.0,1,True,2024,Monza,Q,79.845
PIA,McLaren,15.0,0 days 00:01:19.436000,SOFT,5.0,1,True,2024,Monza,Q,79.436
PIA,McLaren,18.0,0 days 00:01:19.661000,SOFT,6.0,1,True,2024,Monza,Q,79.661
RUS,Mercedes,2.0,0 days 00:01:20.320000,SOFT,1.0,1,True,2024,Monza,Q,80.32
RUS,Mercedes,5.0,0 days 00:01:20.169000,SOFT,2.0,12,True,2024,Monza,Q,80.169
RUS,Mercedes,8.0,0 days 00:01:19.877000,SOFT,3.0,1,True,2024,Monza,Q,79.877
RUS,Mercedes,11.0,0 days 00:01:20.107000,SOFT,4.0,1,True,2024,Monza,Q,80.107
RUS,Mercedes,14.0,0 days 00:01:19.569000,SOFT,5.0,1,True,2024,Monza,Q,79.569
RUS,Mercedes,17.0,0 days 00:01:19.440000,SOFT,6.0,1,True,2024,Monza,Q,79.44
LEC,Ferrari,2.0,0 days 00:01:20.074000,SOFT,1.0,1,True,2024,Monza,Q,80.074
LEC,Ferrari,5.0,0 days 00:01:20.278000,SOFT,2.0,1,True,2024,Monza,Q,80.278
LEC,Ferrari,8.0,0 days 00:01:20.296000,SOFT,3.0,1,True,2024,Monza,Q,80.296
LEC,Ferrari,11.0,0 days 00:01:20.007000,SOFT,4.0,1,True,2024,Monza,Q,80.007
LEC,Ferrari,14.0,0 days 00:01:20.076000,SOFT,5.0,1,True,2024,Monza,Q,80.076
LEC,Ferrari,17.0,0 days 00:01:19.704000,SOFT,6.0,1,True,2024,Monza,Q,79.704
LEC,Ferrari,20.0,0 days 00:01:19.461000,SOFT,7.0,1,True,2024,Monza,Q,79.461
SAI,Ferrari,2.0,0 days 00:01:23.504000,SOFT,1.0,1,True,2024,Monza,Q,83.504
SAI,Ferrari,5.0,0 days 00:01:20.149000,SOFT,2.0,1,True,2024,Monza,Q,80.149
SAI,Ferrari,8.0,0 days 00:01:20.328000,SOFT,3.0,1,True,2024,Monza,Q,80.328
SAI,Ferrari,11.0,0 days 00:01:19.799000,SOFT,4.0,1,True,2024,Monza,Q,79.799
SAI,Ferrari,14.0,0 days 00:01:19.701000,SOFT,5.0,1,True,2024,Monza,Q,79.701
SAI,Ferrari,17.0,0 days 00:01:19.467000,SOFT,6.0,1,True,2024,Monza,Q,79.467
HAM,Mercedes,2.0,0 days 00:01:20.477000,SOFT,1.0,1,True,2024,Monza,Q,80.477
HAM,Mercedes,5.0,0 days 00:01:20.542000,SOFT,2.0,12,True,2024,Monza,Q,80.542
HAM,Mercedes,8.0,0 days 00:01:19.641000,SOFT,3.0,1,True,2024,Monza,Q,79.641
HAM,Mercedes,11.0,0 days 00:01:19.989000,SOFT,4.0,1,True,2024,Monza,Q,79.989
HAM,Mercedes,14.0,0 days 00:01:19.601000,SOFT,5.0,1,True,2024,Monza,Q,79.601
HAM,Mercedes,17.0,0 days 00:01:19.513000,SOFT,6.0,1,True,2024,Monza,Q,79.513
VER,Red Bull Racing,2.0,0 days 00:01:20.226000,SOFT,1.0,1,True,2024,Monza,Q,80.226
VER,Red Bull Racing,5.0,0 days 00:01:22.812000,SOFT,2.0,12,True,2024,Monza,Q,82.812
VER,Red Bull Racing,8.0,0 days 00:01:19.874000,SOFT,3.0,1,True,2024,Monza,Q,79.874
VER,Red Bull Racing,11.0,0 days 00:01:19.662000,SOFT,4.0,1,True,2024,Monza,Q,79.662
VER,Red Bull Racing,14.0,0 days 00:01:20.072000,SOFT,5.0,1,True,2024,Monza,Q,80.072
VER,Red Bull Racing,17.0,0 days 00:01:20.022000,SOFT,6.0,1,True,2024,Monza,Q,80.022
PER,Red Bull Racing,2.0,0 days 00:01:21.110000,SOFT,1.0,1,True,2024,Monza,Q,81.11
PER,Red Bull Racing,5.0,0 days 00:01:20.598000,SOFT,2.0,1,True,2024,Monza,Q,80.598
PER,Red Bull Racing,8.0,0 days 00:01:20.402000,SOFT,3.0,1,True,2024,Monza,Q,80.402
PER,Red Bull Racing,11.0,0 days 00:01:20.216000,SOFT,4.0,1,True,2024,Monza,Q,80.216
PER,Red Bull Racing,14.0,0 days 00:01:20.062000,SOFT,5.0,1,True,2024,Monza,Q,80.062
ALB,Williams,2.0,0 days 00:01:20.820000,SOFT,1.0,1,True,2024,Monza,Q,80.82
ALB,Williams,5.0,0 days 00:01:20.542000,SOFT,2.0,1,True,2024,Monza,Q,80.542
ALB,Williams,8.0,0 days 00:01:20.460000,SOFT,3.0,1,True,2024,Monza,Q,80.46
ALB,Williams,11.0,0 days 00:01:20.314000,SOFT,4.0,1,True,2024,Monza,Q,80.314
ALB,Williams,14.0,0 days 00:01:20.870000,SOFT,5.0,1,True,2024,Monza,Q,80.87
ALB,Williams,17.0,0 days 00:01:20.299000,SOFT,6.0,1,True,2024,Monza,Q,80.299
HUL,Haas F1 Team,2.0,0 days 00:01:20.781000,SOFT,1.0,1,True,2024,Monza,Q,80.781
HUL,Haas F1 Team,5.0,0 days 00:01:21.278000,SOFT,2.0,12,True,2024,Monza,Q,81.278
HUL,Haas F1 Team,8.0,0 days 00:01:20.434000,SOFT,3.0,1,True,2024,Monza,Q,80.434
HUL,Haas F1 Team,11.0,0 days 00:01:20.411000,SOFT,4.0,1,True,2024,Monza,Q,80.411
HUL,Haas F1 Team,14.0,0 days 00:01:20.482000,SOFT,5.0,1,True,2024,Monza,Q,80.482
HUL,Haas F1 Team,17.0,0 days 00:01:20.339000,SOFT,6.0,1,True,2024,Monza,Q,80.339
ALO,Aston Martin,2.0,0 days 00:01:20.617000,SOFT,1.0,1,True,2024,Monza,Q,80.617
ALO,Aston Martin,7.0,0 days 00:01:20.570000,SOFT,3.0,1,True,2024,Monza,Q,80.57
