Driver,Team,LapNumber,LapTime,Compound,Stint,TrackStatus,IsAccurate,LapTimeSeconds,Year,Track,Session,AirTempC,TrackTempC,Rainfall,TyreAgeLaps,SessionProgress,LapTimeFormatted,FuelKg,EstimatedCarWeightKg,CompoundEffect,Intensity,TyreAgeEffect,EstimatedTyreTempC
ALB,Williams,2.0,0 days 00:01:20.820000,SOFT,1.0,1,True,80.82,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.820,10.0,808.0,8,-0.3544239979833513,0.0,54.60383575893533
ALB,Williams,5.0,0 days 00:01:20.542000,SOFT,2.0,1,True,80.542,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.542,10.0,808.0,8,-0.07411141920846581,0.0,56.28571123158464
ALB,Williams,8.0,0 days 00:01:20.460000,SOFT,3.0,1,True,80.46,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.460,10.0,808.0,8,0.00857070834384895,0.0,56.78180399689853
ALB,Williams,11.0,0 days 00:01:20.314000,SOFT,4.0,1,True,80.314,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.314,10.0,808.0,8,0.1557852281321034,0.0,57.66509111562806
ALB,Williams,14.0,0 days 00:01:20.870000,SOFT,5.0,1,True,80.87,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:20.870,10.0,808.0,8,-0.4048399294176962,0.0,54.30134017032926
ALB,Williams,17.0,0 days 00:01:20.299000,SOFT,6.0,1,True,80.299,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:20.299,10.0,808.0,8,0.1709100075623897,0.0,57.75583979220978
ALO,Aston Martin,2.0,0 days 00:01:20.617000,SOFT,1.0,1,True,80.617,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.617,10.0,808.0,8,-0.14973531635996884,0.0,55.831967848675625
ALO,Aston Martin,7.0,0 days 00:01:20.570000,SOFT,3.0,1,True,80.57,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.570,10.0,808.0,8,-0.10234434081168406,0.0,56.11631370196533
ALO,Aston Martin,10.0,0 days 00:01:20.421000,SOFT,4.0,1,True,80.421,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.421,10.0,808.0,8,0.0478951348626162,0.0,57.01775055601114
BOT,Kick Sauber,2.0,0 days 00:01:21.101000,SOFT,1.0,1,True,81.101,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.101,10.0,808.0,8,-0.6377615326443112,0.0,52.903810550969574
BOT,Kick Sauber,5.0,0 days 00:01:23.467000,SOFT,2.0,12,True,83.467,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:23.467,10.0,808.0,8,-1.0,0.0,50.73037974683544
COL,Williams,2.0,0 days 00:01:21.061000,SOFT,1.0,1,True,81.061,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.061,10.0,808.0,8,-0.5974287874968525,0.0,53.145807021854324
COL,Williams,5.0,0 days 00:01:22.531000,SOFT,2.0,1,True,82.531,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:22.531,10.0,808.0,8,-1.0,0.0,50.73037974683544
GAS,Alpine,2.0,0 days 00:01:21.908000,SOFT,1.0,1,True,81.908,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.908,10.0,808.0,8,-1.0,0.0,50.73037974683544
GAS,Alpine,5.0,0 days 00:01:20.748000,SOFT,2.0,1,True,80.748,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.748,10.0,808.0,8,-0.2818250567179227,0.0,55.0394294065279
GAS,Alpine,10.0,0 days 00:01:38.961000,SOFT,4.0,1,True,98.961,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:38.961,10.0,808.0,8,-1.0,0.0,50.73037974683544
GAS,Alpine,11.0,0 days 00:01:20.738000,SOFT,4.0,1,True,80.738,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,1,Mid,1:20.738,10.0,808.0,8,-0.27174187043105086,0.6,55.69992852424914
GAS,Alpine,14.0,0 days 00:01:48.428000,SOFT,5.0,1,True,108.428,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:48.428,10.0,808.0,8,-1.0,0.0,50.73037974683544
GAS,Alpine,15.0,0 days 00:01:21.009000,SOFT,5.0,1,True,81.009,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,1,Late,1:21.009,10.0,808.0,8,-0.5449962188051389,0.6,54.06040243400461
